STAT,POSS,%TIME,PTS,PPP,FG ATT,FG%,EFG%,TO%,%FT,%SF,SCORE%,2 FG ATT,2 FG%,3FG ATT,3 FG%,STAT,POSS,%TIME,PTS,PPP,FG ATT,FG%,EFG%,TO%,%FT,%SF,SCORE%,2 FG ATT,2 FG%,3FG ATT,3 FG%, POINTS SCORED ,#14 L. BENZEL ,#11 J. DAPAA ,#22 J. MASTELLONE ,#5 K. MAXWELL ,#10 J. MCLEMORE ,#31 S. MILLER ,#1 A. MOORE ,#4 D. ALLEN ,#15 L. LAWS ,#13 M. MCCONNELL ,All Field Goal Attempts,"1,637",100.0%,"1,395",0.852,"1,637",38.0%,42.0%,0.0%,1.5%,1.5%,38.0%,"1,196",41.1%,441,29.5%
STAT,POSS,%TIME,PTS,PPP,FG ATT,FG%,EFG%,TO%,%FT,%SF,SCORE%,2 FG ATT,2 FG%,3FG ATT,3 FG%,STAT,POSS,%TIME,PTS,PPP,FG ATT,FG%,EFG%,TO%,%FT,%SF,SCORE%,2 FG ATT,2 FG%,3FG ATT,3 FG%, POINTS SCORED ,#14 L. BENZEL ,#11 J. DAPAA ,#22 J. MASTELLONE ,#5 K. MAXWELL ,#10 J. MCLEMORE ,#31 S. MILLER ,#1 A. MOORE ,#4 D. ALLEN ,#15 L. LAWS ,#13 M. MCCONNELL ,All Field Goal Attempts,"1,637",100.0%,"1,395",0.852,"1,637",38.0%,42.0%,0.0%,1.5%,1.5%,38.0%,"1,196",41.1%,441,29.5%
#22Jenna Mastellone,142,20.0%,171,1.204,122,54.9%,54.9%,0.0%,19.7%,19.7%,59.9%,122,54.9%,0,-
#5Kaitlyn Maxwell,64,9.0%,78,1.219,57,61.4%,61.4%,1.6%,9.4%,9.4%,64.1%,57,61.4%,0,-
#10Jordan Mclemore,68,9.6%,72,1.059,49,46.9%,46.9%,0.0%,29.4%,29.4%,60.3%,49,46.9%,0,-
#31Sam Miller,100,14.1%,111,1.110,92,54.3%,54.3%,0.0%,9.0%,9.0%,57.0%,92,54.3%,0,-
#1Aaliyah Moore,72,10.1%,73,1.014,58,50.0%,50.0%,0.0%,25.0%,25.0%,55.6%,58,50.0%,0,-
#4Diajha Allen,19,2.7%,8,0.421,18,22.2%,22.2%,0.0%,5.3%,5.3%,21.1%,18,22.2%,0,-
#15Layla Laws,20,2.8%,17,0.850,18,44.4%,44.4%,0.0%,10.0%,10.0%,45.0%,18,44.4%,0,-
,,,,,,,,,,,,,,,
Short to 17,215,25.2%,163,0.758,204,35.3%,35.3%,0.0%,6.5%,6.5%,38.6%,204,35.3%,0,-
Medium 17 to < 3 Pts,196,23.0%,90,0.459,194,22.2%,22.2%,0.0%,1.0%,1.0%,23.0%,194,22.2%,0,-
Long 3 pts,441,51.8%,390,0.884,441,29.5%,44.2%,0.0%,0.0%,0.0%,29.5%,0,-,441,29.5%
,,,,,,,,,,,,,,,
All Field Goal Attempts,214,232,258,236,151,171,73,12,18,16,Jump Shot,199,41,116,152
96,12,6,4,2,9,Catch and Shoot,156,20,57,114,42,8,6,0,0
9,Guarded,82,6,18,45,21,2,6,0,0,3,Unguarded,74,14,39
69,21,6,0,0,0,6,Dribble Jumper,39,19,57,32,54,2,0,4
55,40,28,6,0,0,2,0,Medium 17 to < 3 Pts,18,22,4,10,20,6,6
23,212,171,78,72,107,73,8,17,7,Dunk,0,0,0,0,0
